grid_id,year,longitude,latitude,scene_count,lst_c,lst_c_median,lst_c_stddev,lst_c_min,lst_c_max,ndvi,mean_pixel_obs_count,valid_lst_ratio
Y2024_LAT23.76271_LON90.33619,2024,90.3361895678366,23.762709756351583,20,36.26804019505694,36.15842455769233,1.9464099286904402,32.08769419999999,41.456487020000054,0.34898782006675105,11.180999036469446,1.0
Y2024_LAT23.76288_LON90.34599,2024,90.34599281907632,23.762878602283685,20,39.749595995279904,39.965789265161305,1.3765567816876945,32.24150510000004,42.751916600000015,0.22543174718799144,10.902894837152186,1.0
Y2024_LAT23.76305_LON90.3558,2024,90.35579616093816,23.763046827230234,20,38.1770453270589,38.48140220000002,1.1514293575546892,34.8221102,40.51311350000003,0.20671192520741108,11.33879922211673,1.0
Y2024_LAT23.76321_LON90.3656,2024,90.36559959324714,23.763214431236197,20,35.32304829899035,35.01598029440002,1.4202639274591635,32.28935738000001,39.46719938000001,0.31143643635272017,9.955299947411701,1.0
Y2024_LAT23.76338_LON90.3754,2024,90.37540311576633,23.763381414237692,20,34.02487426190191,33.96481681526318,1.4689415217431332,30.48293381000002,38.94424232000006,0.4919752645964394,12.661905467790445,1.0
Y2024_LAT23.76355_LON90.38521,2024,90.3852067277836,23.763547776097877,20,36.140219597858774,36.20851169692309,2.1748097803637485,30.48293381000002,39.99357445999999,0.40766946105711444,14.491901755178526,1.0
Y2024_LAT23.76371_LON90.39501,2024,90.39501042943009,23.763713516960536,20,38.810203363975724,38.77866255568184,2.3015691143379344,34.21028462000004,44.46092659999999,0.3056323499595646,14.418299315646257,1.0
Y2024_LAT23.76388_LON90.40481,2024,90.40481422001753,23.7638786367501,20,39.86708391237333,40.1580316518033,2.5254046837505193,31.04861612000002,45.339357740000025,0.2929190344392831,15.020100094588685,1.0
Y2024_LAT23.76404_LON90.41462,2024,90.41461809937496,23.764043135474466,20,37.579171853703386,37.97276508000002,2.3360122715809872,31.021271960000036,43.27145564,0.23999344101232092,15.207300243882633,1.0
Y2024_LAT23.76421_LON90.42442,2024,90.42442206719913,23.76420701298965,20,37.36850240760551,37.45206296375002,0.9496462886730643,33.789868160000026,39.82267346000003,0.24987211565608175,14.118598963057606,1.0
Y2024_LAT23.76437_LON90.43423,2024,90.43422612297073,23.764370269374343,20,37.307229574733896,37.39040508734378,1.1169149099396725,35.01351932,41.04461561000005,0.2588059454653017,13.018190673838468,1.0
Y2024_LAT23.76453_LON90.44403,2024,90.44403026665844,23.764532904578363,20,36.29999745096509,36.13570925473685,0.865823959399428,34.17610442000003,39.77823920000003,0.3617230033312971,13.018797669173724,1.0
Y2024_LAT23.76469_LON90.45383,2024,90.45383449767927,23.76469491859851,20,34.18691143988382,34.20635067245284,1.0385330184428534,31.451942480000014,36.661004960000014,0.4932103578516284,12.573900675177265,1.0
Y2024_LAT23.76486_LON90.46364,2024,90.46363881566843,23.764856311400155,20,33.84684583633625,33.76665410750002,1.1687807223192255,31.344274850000005,37.39246123999999,0.49381637112904614,13.116700549179065,1.0
Y2024_LAT23.76502_LON90.47344,2024,90.47344322047181,23.765017082957055,20,32.0545437380439,31.86001609000002,1.193857982708423,29.322516020000023,36.674677040000006,0.5713469832547093,13.540399459293472,1.0
Y2024_LAT23.76518_LON90.48325,2024,90.48324771175145,23.76517723326621,20,32.75888559568129,32.72780875853659,0.6018534544980508,30.812772740000014,34.51790642000003,0.546877859065775,12.383056155353136,0.501999210365744
Y2024_LAT23.76983_LON90.22817,2024,90.2281686374244,23.769833420109688,20,35.52868160764445,35.44191116000002,0.43687338158670314,34.72982366000002,36.510612080000016,0.571893669326483,12.666385061321991,0.12293053620733525
Y2024_LAT23.77001_LON90.23797,2024,90.23797154263815,23.770009169948537,20,35.77148913956326,36.15982399516131,2.56954418671457,30.68117897000002,41.757272779999994,0.42873790942552076,12.297415609864336,0.9618147421126001
Y2024_LAT23.77018_LON90.24777,2024,90.24777454231223,23.77018429878142,20,36.27981194216775,36.30068287204084,0.8977375069138849,33.80012222000002,39.568030970000024,0.489037848524583,12.127800150353163,1.0
Y2024_LAT23.77036_LON90.25758,2024,90.25757763606937,23.770358806663783,20,35.512417171834116,35.64153212679246,1.217604071271679,32.75079008000003,38.903226080000024,0.49741813436293925,12.133200626826502,1.0
Y2024_LAT23.77053_LON90.26738,2024,90.26738082362911,23.77053269346265,20,35.573122195755005,35.8902763277551,1.313015605357239,31.974899540000024,38.28798247999998,0.5524370325006938,12.321600378353423,1.0
Y2024_LAT23.77071_LON90.27718,2024,90.27718410465431,23.77070595923242,20,35.02952944906675,34.9206930926316,1.0091381710753462,32.535454819999984,37.82654978000005,0.5464625708436688,11.617400726353818,1.0
Y2024_LAT23.77088_LON90.28699,2024,90.28698747876511,23.770878603944194,20,35.27515054573565,35.357083736562515,0.7134756705308388,32.87042078000002,37.42322342,0.5466764000106703,12.494504680022063,1.0
Y2024_LAT23.77105_LON90.29679,2024,90.29679094568877,23.77105062758184,20,35.262920061060825,35.360448350000034,1.3763557104376298,30.976837700000033,38.28456446000001,0.5520618086118876,12.26880031623566,1.0
Y2024_LAT23.77122_LON90.30659,2024,90.30659450499972,23.77122203003455,20,35.8122004459644,35.71739407750002,1.168913902117625,31.561319120000007,39.59024810000005,0.5514506499959919,13.295302700356144,1.0
Y2024_LAT23.77139_LON90.3164,2024,90.31639815643658,23.77139281141807,20,34.8777266796565,35.16411326000002,1.6821373808892528,31.417762280000034,38.20595000000003,0.413424075842112,12.389006536501356,1.0
Y2024_LAT23.77156_LON90.3262,2024,90.32620189962677,23.771562971608304,20,36.684775473345184,36.461172862142874,2.6304027843403923,32.17656271999999,43.00314107000003,0.2851124290130815,12.211101424825229,1.0
Y2024_LAT23.77173_LON90.33601,2024,90.33600573426834,23.771732510588965,20,36.830305522527865,37.341246973114764,2.616800751770872,31.27420544000006,43.31247188000003,0.29785323700278393,11.572097143643726,1.0
Y2024_LAT23.7719_LON90.34581,2024,90.34580966010452,23.77190142837294,20,37.56504930017663,38.284584704136485,2.7137078541929904,30.68117897000002,42.17085320000001,0.23145118275695992,11.711486877585342,1.0
Y2024_LAT23.77207_LON90.35561,2024,90.35561367664954,23.772069724907464,20,37.05230405950897,36.86169156285717,1.7227815806313145,34.11458005999998,41.917919719999986,0.20696351861066048,12.414296957996443,1.0
Y2024_LAT23.77224_LON90.36542,2024,90.36541778357672,23.77223740023536,20,36.49652079543867,36.01348006000001,1.6905709914457439,33.52326260000004,40.916439860000025,0.2588856189538245,11.360000423529922,1.0
Y2024_LAT23.7724_LON90.37522,2024,90.37522198066777,23.77240445418439,20,35.15469361191529,34.84738700919357,1.492608936258571,31.441688420000048,39.74064098000002,0.4165201999935836,13.073507404740758,1.0
Y2024_LAT23.77257_LON90.38503,2024,90.3850262675189,23.77257088690493,20,37.96884980854628,37.64624922500002,2.182508178250609,31.720257050000043,43.83542894000004,0.41583638538929435,12.063000074117744,1.0
Y2024_LAT23.77274_LON90.39483,2024,90.39483064385604,23.772736698317658,20,38.38534857967824,38.58544787771431,1.4826778482834273,34.022293520000005,42.17939825000002,0.2858063683496985,12.838299809764507,1.0
